id_annonce,property_type,approximate_latitude,approximate_longitude,city,postal_code,size,floor,land_size,energy_performance_value,energy_performance_category,ghg_value,ghg_category,exposition,nb_rooms,nb_bedrooms,nb_bathrooms,nb_parking_places,nb_boxes,nb_photos,has_a_balcony,nb_terraces,has_a_cellar,has_a_garage,has_air_conditioning,last_floor,upper_floors
35996577,appartement,43.64387987003234,7.117182951005137,villeneuve-loubet,06270,63.0,,,,,,,,3.0,2.0,,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35811033,appartement,45.695756723197945,4.89560993095212,venissieux,69200,90.0,3.0,,223.0,D,52.0,E,,5.0,4.0,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35731841,maison,47.96679141822744,-1.2204506577025136,moutiers,35130,61.0,,370.0,,,,,Sud,2.0,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35886765,maison,47.28929151136732,-1.8788046225211363,cordemais,44360,142.0,,764.0,217.0,D,44.0,E,,4.0,3.0,,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35781137,appartement,45.718992468365904,4.844234414494792,lyon-7eme,69007,88.0,3.0,,,,,,,4.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36048491,appartement,48.69884447009135,2.309212563048811,chilly-mazarin,91380,92.0,,,161.0,D,37.0,E,,4.0,3.0,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36049101,appartement,48.88406706735747,2.2702202788670167,neuilly-sur-seine,92200,1758.0,5.0,,,,,,,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35886249,maison,48.698043283444925,-3.09317536130411,quemper-guezennec,22260,120.0,,25700.0,193.0,D,6.0,B,,4.0,3.0,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36058309,maison,42.707205646196265,3.0249954379740567,canet-en-roussillon,66140,110.0,,392.0,89.0,B,17.0,C,,4.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35783101,maison,48.37254761051152,-4.636495654342866,locmaria-plouzane,29280,151.0,,,220.0,D,6.0,B,,9.0,5.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35996465,appartement,48.11341810626321,-1.6829532512424723,rennes,35000,58.0,,,,,,,,3.0,2.0,,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
